"id","fdc_id","nutrient_id","amount","data_points","derivation_id","min","max","median","footnote","min_year_acquired"
"2219752","321358","1098","0.348","11","1","0.27","0.396","0.376","","2015"
"2219753","321358","1101","1.06","11","1","0.785","1.21","1.15","","2015"
"2219754","321358","1106","1","","49","","","","",""
"2219755","321358","1107","12","1","1","","","12","","2015"
"2219756","321358","1108","0","1","1","","","0","","2015"
"2219757","321358","1271","0.005","6","1","0.003","0.006","0.006","","2015"
"2219758","321358","1276","0","6","1","0","0","0","","2015"
"2219759","321358","1292","6.37","","4","","","","",""
"2219760","321358","1293","7.48","","4","","","","",""
"2219761","321358","1299","0.004","6","1","0.003","0.004","0.004","","2015"
"2219762","321358","1304","0.006","6","1","0.004","0.009","0.006","","2015"
"2219763","321358","1305","0","6","1","0","0","0","","2015"
"2219764","321358","1306","0.012","6","1","0.008","0.017","0.012","","2015"
"2219765","321358","1311","0.002","6","1","0","0.003","0.003","","2015"
"2219766","321358","1313","0.005","6","1","0.003","0.006","0.005","","2015"
"2219767","321358","1314","0.021","6","1","0.015","0.027","0.02","","2015"
"2219768","321358","1321","0.02","6","1","0.011","0.029","0.018","","2015"
"2219769","321358","1331","0","","4","","","","",""
"2219770","321358","1406","0","6","1","0","0","0","","2015"
"2219771","321358","1259","0","6","1","0","0","0","","2015"
"2219772","321358","1260","0","6","1","0","0","0","","2015"
"2219773","321358","1262","0","6","1","0","0","0","","2015"
"2219774","321358","1265","1.41","6","1","1.05","1.76","1.43","","2015"
"2219775","321358","1266","0.634","6","1","0.478","0.771","0.654","","2015"
"2219776","321358","1267","0.079","6","1","0.072","0.083","0.08","","2015"
"2219777","321358","1123","258","1","1","","","258","","2015"
"2219778","321358","1125","0.31","6","1","0.22","0.36","0.34","","2015"
"2219779","321358","1126","9.47","6","1","6.32","11.9","9.58","","2015"
"2219780","321358","1128","0","6","1","0","0","0","","2015"
"2219781","321358","1129","0","6","1","0","0","0","","2015"
"2219782","321358","1167","0.948","6","1","0.82","1.09","0.95","","2015"
"2219783","321358","1170","0.318","4","1","0.26","0.37","0.32","","2015"
"2219784","321358","1175","0.143","6","1","0.11","0.16","0.15","","2015"
"2219785","321358","1183","0","2","1","0","0","0","","2015"
"2219786","321358","1004","17.1","11","1","11.9","19.1","18.2","","2015"
"2219787","321358","1005","14.9","","49","","","","",""
"2219788","321358","1008","229","","49","","","","",""
"2219789","321358","1010","0.18","2","1","0","0.37","0.18","","2015"
"2219790","321358","1011","0","2","1","0","0","0","","2015"
"2219791","321358","1014","0","2","1","0","0","0","","2015"
"2219792","321358","1051","58.7","11","1","56.1","65.6","57.6","","2015"
"2219793","321358","1087","41","11","1","26","57","46","","2015"
"2219794","321358","1092","289","11","1","231","327","315","","2015"
"2219795","321358","1095","1.38","11","1","1.17","1.5","1.45","","2015"
"2219796","321358","1103","16.2","2","1","0","32.3","16.2","","2015"
"2219797","321358","1109","1.74","6","1","1.4","2.89","1.53","","2015"
"2219798","321358","1002","1.18","11","1","0.99","1.29","1.25","","2015"
"2219799","321358","2009","0","6","1","0","0","0","","2015"
"2219800","321358","2012","0.084","6","1","0.046","0.126","0.082","","2015"
"2219801","321358","2014","0.001","6","1","0","0.004","0","","2015"
"2219802","321358","1334","0","6","1","0","0","0","","2015"
"2219803","321358","1335","0","6","1","0","0","0","","2015"
"2219804","321358","2019","0","6","1","0","0","0","","2015"
"2219805","321358","1414","0","6","1","0","0","0","","2015"
"2219806","321358","1180","46.6","1","1","","","46.6","","2015"
"2219807","321358","1197","1.1","1","1","","","1.1","","2015"
"2219808","321358","1198","0.2","1","1","","","0.2","","2015"
"2219809","321358","1199","0","1","1","","","0","","2015"
"2219810","321358","1194","22.3","1","1","","","22.3","","2015"
"2219811","321358","1196","0.2","1","1","","","0.2","","2015"
"2219812","321358","1195","23","1","1","","","23","","2015"
"2219813","321358","1063","0.34","","4","","","","",""
"2219814","321358","1050","13.9","","4","","","","",""
"2219815","321358","1330","0.012","","4","","","","",""
"2219816","321358","2010","0.007","","4","","","","",""
"2219817","321358","2016","6.81","","4","","","","",""
"2219818","321358","2018","0.656","","4","","","","",""
"2219819","321358","2020","0","","4","","","","",""
"2219820","321358","2022","0.005","","4","","","","",""
"2219821","321358","2023","0","","4","","","","",""
"2219822","321358","2024","0","","4","","","","",""
"2219823","321358","2025","0","","4","","","","",""
"2219824","321358","2026","0.005","","4","","","","",""
"2219825","321358","1085","16.1","","4","","","","",""
"2219826","321359","1103","1.8","12","1","0","4.6","1.5","","2018"
"2219827","321359","1167","0.112","12","1","0.09","0.14","0.12","","2018"
"2219828","321359","1175","0.061","12","1","0.054","0.068","0.06","","2018"
"2219829","321359","1003","3.35","","49","3","3.7","3.32","",""
"2219830","321359","1007","0.75","24","1","0.48","1.1","0.7","","2018"
"2219831","321359","1166","0.137","12","1","0.125","0.172","0.132","","2018"
"2219832","321359","1299","0.019","12","1","0.016","0.023","0.02","","2018"
"2219833","321359","1304","0.052","12","1","0.04","0.066","0.054","","2018"
"2219834","321359","1314","0.024","12","1","0.012","0.03","0.025","","2018"
"2219835","321359","1262","0.049","12","1","0.041","0.057","0.05","","2018"
"2219836","321359","1267","0.002","12","1","0.002","0.002","0.002","","2018"
"2219837","321359","1261","0.021","12","1","0.018","0.023","0.02","","2018"
"2219838","321359","1263","0.058","12","1","0.049","0.069","0.058","","2018"
"2219839","321359","1273","0.001","12","1","0.001","0.002","0.001","","2018"
"2219840","321359","1316","0.045","12","1","0","0.064","0.048","","2018"
"2219841","321359","1323","0.003","12","1","0","0.004","0.003","","2018"
"2219842","321359","1300","0.011","12","1","0.009","0.014","0.01","","2018"
"2219843","321359","1333","0","12","1","0","0","0","","2018"
"2219844","321359","1404","0.007","12","1","0.005","0.009","0.006","","2018"
"2219845","321359","1271","0.003","12","1","0.002","0.003","0.003","","2018"
"2219846","321359","1276","0","12","1","0","0","0","","2018"
"2219847","321359","1265","0.512","12","1","0.438","0.614","0.514","","2018"
"2219848","321359","1266","0.184","12","1","0.168","0.217","0.182","","2018"
"2219849","321359","1259","0.041","12","1","0.033","0.044","0.042","","2018"
"2219850","321359","1260","0.032","12","1","0.026","0.035","0.032","","2018"
"2219851","321359","1110","45","","4","","","","",""
"2219852","321359","1278","0","12","1","0","0.001","0","","2018"
"2219853","321359","1280","0.001","12","1","0","0.002","0.001","","2018"
"2219854","321359","1315","0.358","12","1","0.325","0.385","0.356","","2018"
"2219855","321359","1264","0.181","12","1","0.158","0.2","0.181","","2018"
"2219856","321359","1272","0","12","1","0","0","0","","2018"
"2219857","321359","1112","1.1","24","1","0.8","1.6","1.1","","2018"
"2219858","321359","1210","0.042","12","1","0.04","0.05","0.04","","2018"
"2219859","321359","1211","0.162","12","1","0.14","0.18","0.16","","2018"
"2219860","321359","1215","0.089","12","1","0.08","0.1","0.09","","2018"
"2219861","321359","1217","0.163","12","1","0.15","0.19","0.16","","2018"
"2219862","321359","1218","0.165","12","1","0.15","0.19","0.165","","2018"
"2219863","321359","1222","0.113","12","1","0.1","0.13","0.11","","2018"
"2219864","321359","1224","0.801","12","1","0.72","0.87","0.82","","2018"
"2219865","321359","1225","0.068","12","1","0.06","0.08","0.07","","2018"
"2219866","321359","1226","0.332","12","1","0.26","0.37","0.345","","2018"
"2219867","321359","1212","0.173","12","1","0.16","0.2","0.175","","2018"
"2219868","321359","1213","0.335","12","1","0.31","0.37","0.335","","2018"
"2219869","321359","1214","0.293","12","1","0.26","0.32","0.295","","2018"
"2219870","321359","1219","0.213","12","1","0.19","0.24","0.215","","2018"
"2219871","321359","1220","0.125","12","1","0.11","0.14","0.125","","2018"
"2219872","321359","1221","0.099","12","1","0.09","0.11","0.1","","2018"
"2219873","321359","1223","0.291","12","1","0.26","0.32","0.295","","2018"
"2219874","321359","1062","209","","49","","","","",""
"2219875","321359","1106","83","","49","","","","",""
"2219876","321359","1114","1.1","","4","","","","",""
"2219877","321359","1257","0.07","12","1","0.06","0.08","0.07","","2018"
"2219878","321359","1258","1.11","12","1","0.96","1.25","1.12","","2018"
"2219879","321359","1329","0.06","","4","","","","",""
"2219880","321359","1005","4.91","","49","","","","",""
"2219881","321359","1008","50","","49","","","","",""
"2219882","321359","1331","0","","4","","","","",""
"2219883","321359","1292","0.4","12","1","0.36","0.43","0.4","","2018"
"2219884","321359","1293","0.058","12","1","0.01","0.08","0.06","","2018"
"2219885","321359","1125","0","6","1","0","0","0","","2018"
"2219886","321359","1126","0","6","1","0","0","0","","2018"
"2219887","321359","1128","0","6","1","0","0","0","","2018"
"2219888","321359","1129","0","6","1","0","0","0","","2018"
"2219889","321359","1170","0.39","6","1","0.314","0.433","0.392","","2018"
"2219890","321359","1010","0","12","1","0","0","0","","2018"
"2219891","321359","1011","0","12","1","0","0","0","","2018"
"2219892","321359","1014","0","12","1","0","0","0","","2018"
"2219893","321359","1109","0.03","6","1","0.02","0.03","0.03","","2018"
"2219894","321359","1253","8","24","1","7","8","8","","2018"
"2219895","321359","1108","0","6","1","0","0","0","","2018"
"2219896","321359","1120","0","6","1","0","0","0","","2018"
"2219897","321359","1122","0","6","1","0","0","0","","2018"
"2219898","321359","1127","0","6","1","0","0","0","","2018"
"2219899","321359","1130","0","6","1","0","0","0","","2018"
"2219900","321359","1131","0","6","1","0","0","0","","2018"
"2219901","321359","1177","2","12","1","0","7","0","","2018"
"2219902","321359","1165","0.059","12","1","0.053","0.065","0.06","","2018"
"2219903","321359","1228","0","12","1","0","0","0","","2018"
"2219904","321359","1075","0","12","1","0","0","0","","2018"
"2219905","321359","1012","0","12","1","0","0","0","","2018"
"2219906","321359","1013","4.89","12","1","4.56","5.55","4.78","","2018"
"2219907","321359","1180","18.2","6","1","17.4","19.6","18","","2018"
"2219908","321359","1227","0.197","12","1","0.18","0.22","0.2","","2018"
"2219909","321359","1198","0.7","6","1","0.5","0.9","0.8","","2018"
"2219910","321359","1087","126","12","1","111","134","126","","2018"
"2219911","321359","1092","159","12","1","149","178","156","","2018"
"2219912","321359","1095","0.43","12","1","0.36","0.48","0.43","","2018"
"2219913","321359","1051","89.1","24","1","88","90.7","89.1","","2018"
"2219914","321359","1004","1.9","24","1","1.68","2.06","1.92","","2018"
"2219915","321359","1107","3","6","1","2","3","3","","2018"
"2219916","321359","1089","0","12","1","0","0","0","","2018"
"2219917","321359","1090","12","12","1","10.3","13.2","12.1","","2018"
"2219918","321359","1091","103","12","1","91","111","104","","2018"
"2219919","321359","1093","39","12","1","36","46","38","","2018"
"2219920","321359","1098","0.001","12","1","0","0.006","0","","2018"
"2219921","321359","1101","0.001","12","1","0","0.003","0","","2018"
"2219922","321359","1178","0.55","12","1","0.45","0.65","0.55","","2018"
"2219923","321359","1002","0.53","24","1","0.47","0.58","0.52","","2018"
"2219924","321359","1113","0","24","1","0","0","0","","2018"
"2219925","321359","1111","0","24","1","0","0","0","","2018"
"2219926","321359","1335","0","12","1","0","0","0","","2018"
"2219927","321359","2008","0.001","12","1","0","0.001","0.001","","2018"
"2219928","321359","2009","0.014","12","1","0.011","0.017","0.015","","2018"
"2219929","321359","1281","0.003","12","1","0.002","0.003","0.003","","2018"
"2219930","321359","1303","0.005","12","1","0.004","0.005","0.005","","2018"
"2219931","321359","1311","0.007","12","1","0.006","0.009","0.007","","2018"
"2219932","321359","1306","0.009","12","1","0.005","0.012","0.01","","2018"
"2219933","321359","1321","0","12","1","0","0.001","0","","2018"
"2219934","321359","2019","0","12","1","0","0","0","","2018"
"2219935","321359","2012","0.002","12","1","0.001","0.003","0.002","","2018"
"2219936","321359","2013","0","12","1","0","0","0","","2018"
"2219937","321359","1313","0","12","1","0","0.001","0","","2018"
"2219938","321359","1405","0","12","1","0","0","0","","2018"
"2219939","321359","1414","0","12","1","0","0","0","","2018"
"2219940","321359","1406","0.002","12","1","0.001","0.003","0.002","","2018"
"2219941","321359","2006","0","12","1","0","0","0","","2018"
"2219942","321359","2015","0","12","1","0","0","0","","2018"
"2219943","321359","2014","0","12","1","0","0","0","","2018"
"2219944","321359","1305","0","12","1","0","0","0","","2018"
"2219945","321359","1334","0","12","1","0","0","0","","2018"
"2219946","321359","2021","0","12","1","0","0","0","","2018"
"2219947","321359","1411","0","12","1","0","0.001","0","","2018"
"2219948","321359","2007","0","12","1","0","0","0","","2018"
"2219949","321359","1301","0","12","1","0","0.001","0","","2018"
"2219950","321359","1312","0","12","1","0","0","0","","2018"
"2219951","321359","2003","0","12","1","0","0","0","","2018"
"2219952","321359","2004","0","12","1","0","0","0","","2018"
"2219953","321359","2005","0","12","1","0","0","0","","2018"
"2219954","321359","1232","0.035","12","1","0.03","0.04","0.035","","2018"
"2219955","321359","2032","0","6","1","0","0","0","","2018"
"2219956","321359","1159","1","6","1","0","1","1","","2018"
"2219957","321359","1161","0","6","1","0","0","0","","2018"
"2219958","321359","1160","0","6","1","0","0","0","","2018"
"2219959","321359","1121","0","6","1","0","1","0","","2018"
"2219960","321359","2028","2","6","1","1","2","2","","2018"
"2219961","321359","2029","0","6","1","0","0","0","","2018"
"2219962","321359","1119","0","6","1","0","0","0","","2018"
"2219963","321359","1194","3.1","6","1","2.5","3.7","2.9","","2018"
"2219964","321359","1197","11","6","1","10.1","12.2","10.9","","2018"
"2219965","321359","1196","1.9","6","1","1.5","2.3","2","","2018"
"2219966","321359","1195","1.1","6","1","0.9","1.2","1.1","","2018"
"2219967","321359","1199","1.2","6","1","1","1.3","1.2","","2018"
"2219968","321359","1063","4.89","","4","","","","",""
"2219969","321359","1330","0.009","","4","","","","",""
"2219970","321359","1317","0","","4","","","","",""
"2219971","321359","2010","0.003","","4","","","","",""
"2219972","321359","2016","0.052","","4","","","","",""
"2219973","321359","2018","0.007","","4","","","","",""
"2219974","321359","2020","0.002","","4","","","","",""
"2219975","321359","2022","0.003","","4","","","","",""
"2219976","321359","2023","0","","4","","","","",""
"2219977","321359","2024","0.001","","4","","","","",""
"2219978","321359","2025","0","","4","","","","",""
"2219979","321359","2026","0","","4","","","","",""
"2219980","321359","1085","1.64","","4","","","","",""
"2219981","321359","1100","39.6","24","1","19.9","103","34.4","","2018"
"2219982","321359","1105","83","12","1","56","115","86","","2018"
"2219983","321360","1051","92.5","18","1","90.9","93.6","92.7","","2016"
"2219984","321360","1162","27.2","12","1","22.4","32.4","26.3","","2016"
"2219985","321360","1007","0.56","6","1","0.51","0.64","0.55","","2016"
"2219986","321360","1004","0.63","6","1","0.46","0.82","0.64","","2016"
"2219987","321360","1002","0.13","6","1","0.12","0.15","0.13","","2016"
"2219988","321360","1198","0","1","1","","","0","","2016"
"2219989","321360","1194","8","1","1","","","8","","2016"
"2219990","321360","1197","0","1","1","","","0","","2016"
"2219991","321360","1196","1.2","1","1","","","1.2","","2016"
"2219992","321360","1195","0.6","1","1","","","0.6","","2016"
"2219993","321360","1199","0","1","1","","","0","","2016"
"2219994","321360","1180","9.8","1","1","","","9.8","","2016"
"2219995","321360","1087","11","6","1","9","15","10","","2016"
"2219996","321360","1098","0.058","6","1","0.042","0.085","0.056","","2016"
"2219997","321360","1089","0.33","6","1","0.28","0.44","0.31","","2016"
"2219998","321360","1090","11.9","6","1","10.7","13.1","11.8","","2016"
"2219999","321360","1101","0.121","6","1","0.076","0.219","0.098","","2016"
"2220000","321360","1091","28","6","1","23","33","27","","2016"
"2220001","321360","1092","260","6","1","239","285","257","","2016"
"2220002","321360","1093","6","6","1","3","10","5","","2016"
"2220003","321360","1095","0.2","6","1","0.18","0.25","0.19","","2016"
"2220004","321360","1079","2.1","3","1","1.9","2.2","2.2","","2016"
"2220005","321360","1108","0","3","1","0","0","0","","2016"
"2220006","321360","2032","0","3","1","0","0","0","","2016"
"2220007","321360","2028","393","3","1","286","493","399","","2016"
"2220008","321360","1120","0","3","1","0","0","0","","2016"
"2220009","321360","1159","49","3","1","36","67","46","","2016"
"2220010","321360","1161","12","3","1","9","14","12","","2016"
"2220011","321360","1160","554","3","1","524","594","542","","2016"
"2220012","321360","1121","95","3","1","68","131","84","","2016"
"2220013","321360","1122","4100","3","1","3860","4240","4210","","2016"
"2220014","321360","1119","9","3","1","8","11","9","","2016"
"2220015","321360","1109","0.98","2","1","0.85","1.12","0.98","","2016"
"2220016","321360","1128","0","2","1","0","0","0","","2016"
"2220017","321360","1125","0.02","2","1","0","0.04","0.02","","2016"
"2220018","321360","1129","0","2","1","0","0","0","","2016"
"2220019","321360","1127","0.12","2","1","0.08","0.15","0.12","","2016"
"2220020","321360","1131","0","2","1","0","0","0","","2016"
"2220021","321360","1126","0.7","2","1","0.61","0.8","0.7","","2016"
"2220022","321360","1130","0","2","1","0","0","0","","2016"
"2220023","321360","1184","0","2","1","0","0","0","","2016"
"2220024","321360","1183","0","2","1","0","0","0","","2016"
"2220025","321360","1185","4.2","2","1","3.3","5.2","4.2","","2016"
"2220026","321360","1166","0.065","2","1","0.06","0.07","0.065","","2016"
"2220027","321360","1165","0.075","2","1","0.07","0.08","0.075","","2016"
"2220028","321360","1175","0.06","2","1","0.05","0.07","0.06","","2016"
"2220029","321360","1177","10","2","1","9","10","10","","2016"
"2220030","321360","1167","0.805","2","1","0.8","0.81","0.805","","2016"
"2220031","321360","1003","0.83","","49","0.75","0.94","0.81","",""
"2220032","321360","1005","5.51","","49","","","","",""
"2220033","321360","1106","0","","49","","","","",""
"2220034","321360","1008","27","","49","","","","",""
"2220035","321360","1062","113","","49","","","","",""
"2220322","321505","1089","0","24","1","0","0","0","","2018"
"2220323","321505","1090","0","24","1","0","0","0","","2018"
"2220324","321505","1091","0","24","1","0","0","0","","2018"
"2220325","321505","1093","38700","24","1","37200","40700","38500","","2018"
"2220326","321505","1098","0","24","1","0","0","0","","2018"
"2220327","321505","1101","0.032","24","1","0","0.1","0","","2018"
"2220328","321505","1007","99","19","1","98","99.6","99","","2018"
"2220329","321505","1051","0.42","19","1","0","1.05","0.61","","2018"
"2220330","321505","1087","50","24","1","0","125","45","","2018"
"2220331","321505","1092","2","24","1","0","53","0","","2018"
"2220332","321505","1095","0","24","1","0","0","0","","2018"
"2220333","321505","1100","5080","24","1","3410","7430","5040","","2018"
"2220526","321611","1075","0","6","1","0","0","0","","2015"
"2220527","321611","1013","0","6","1","0","0","0","","2015"
"2220528","321611","1051","93.6","12","1","93","94.2","93.5","","2015"
"2220529","321611","1095","0.19","12","1","0.14","0.27","0.19","","2015"
"2220530","321611","1087","36","12","1","26","42","36","","2015"
"2220531","321611","1004","0.39","12","1","0.3","0.47","0.38","","2015"
"2220532","321611","1005","4.11","","49","","","","",""
"2220533","321611","1008","21","","49","","","","",""
"2220534","321611","1010","0","6","1","0","0","0","","2015"
"2220535","321611","1011","0.65","6","1","0.5","0.72","0.67","","2015"
"2220536","321611","1062","86","","49","","","","",""
"2220537","321611","1091","23","12","1","18","27","23","","2015"
"2220538","321611","1093","282","12","1","183","328","305","","2015"
"2220539","321611","1098","0.041","12","1","0.027","0.058","0.041","","2015"
"2220540","321611","1101","0.176","12","1","0.137","0.223","0.18","","2015"
"2220541","321611","1089","0.78","12","1","0.35","1.5","0.61","","2015"
"2220542","321611","1012","0.64","6","1","0.48","0.72","0.67","","2015"
"2220543","321611","1003","1.04","","49","0.81","1.25","1.06","",""
"2220544","321611","1007","0.89","12","1","0.71","1.05","0.92","","2015"
"2220545","321611","1090","12.7","12","1","10.7","14.3","12.5","","2015"
"2220546","321611","1014","0","6","1","0","0","0","","2015"
"2220547","321611","1092","97","12","1","76","114","96","","2015"
"2220548","321611","1002","0.17","12","1","0.13","0.2","0.17","","2015"
"2220549","321611","1063","1.29","","4","","","","",""
"2221264","321900","1292","0.011","","4","","","","",""
"2221265","321900","1293","0.017","","4","","","","",""
"2221266","321900","1265","0.029","2","1","0.021","0.037","0.029","","2001"
"2221267","321900","1266","0.006","2","1","0.006","0.006","0.006","","2001"
"2221268","321900","1267","0.002","2","1","0.001","0.003","0.002","","2001"
"2221269","321900","1268","0.01","2","1","0.008","0.012","0.01","","2001"
"2221270","321900","1269","0.017","2","1","0.011","0.023","0.017","","2001"
"2221271","321900","1270","0.021","2","1","0.012","0.031","0.021","","2001"
"2221272","321900","1323","0.001","2","1","0","0.001","0.001","","2001"
"2221273","321900","1264","0.001","2","1","0","0.001","0.001","","2001"
"2221274","321900","1273","0.002","2","1","0.001","0.002","0.002","","2001"
"2221275","321900","1258","0.039","","4","","","","",""
"2221276","321900","1062","132","","49","","","","",""
"2221277","321900","1009","0","1","1","","","0","","2001"
"2221278","321900","1005","6.29","","49","","","","",""
"2221279","321900","1008","32","","49","","","","",""
"2221280","321900","1299","0","2","1","0","0","0","","2001"
"2221281","321900","1313","0","2","1","0","0","0","","2001"
"2221282","321900","1321","0","2","1","0","0","0","","2001"
"2221283","321900","1325","0","2","1","0","0","0","","2001"
"2221284","321900","1262","0","2","1","0","0","0","","2001"
"2221285","321900","1212","0.079","4","1","0.075","0.082","0.08","","2001"
"2221286","321900","1213","0.129","4","1","0.115","0.14","0.13","","2001"
"2221287","321900","1214","0.135","4","1","0.124","0.14","0.138","","2001"
"2221288","321900","1216","0.028","4","1","0.025","0.03","0.028","","2001"
"2221289","321900","1219","0.125","4","1","0.112","0.14","0.124","","2001"
"2221290","321900","1220","0.191","4","1","0.147","0.24","0.188","","2001"
"2221291","321900","1221","0.059","4","1","0.048","0.07","0.059","","2001"
"2221292","321900","1223","0.325","4","1","0.259","0.41","0.315","","2001"
"2221293","321900","1227","0.121","4","1","0.092","0.14","0.126","","2001"
"2221294","321900","1271","0","2","1","0","0","0","","2001"
"2221295","321900","1277","0","2","1","0","0","0","","2001"
"2221296","321900","1004","0.34","8","1","0.23","0.41","0.34","","2001"
"2221297","321900","1010","0.01","8","1","0","0.02","0.01","","2001"
"2221298","321900","1011","0.58","8","1","0.43","0.7","0.62","","2001"
"2221299","321900","1014","0","8","1","0","0","0","","2001"
"2221300","321900","1051","90","12","1","87.3","91.9","90.3","","2001"
"2221301","321900","1087","46","8","1","34","58","46","","2001"
"2221302","321900","1092","303","8","1","272","326","306","","2001"
"2221303","321900","1095","0.42","8","1","0.39","0.49","0.42","","2001"
"2221304","321900","1103","1.6","4","1","1.4","1.7","1.7","","2001"
"2221305","321900","1109","0.15","6","1","0.04","0.22","0.15","","2001"
"2221306","321900","1125","0","6","1","0","0","0","","2001"
"2221307","321900","1126","0.04","6","1","0.03","0.07","0.04","","2001"
"2221308","321900","1128","0.01","6","1","0","0.03","0","","2001"
"2221309","321900","1129","0","6","1","0","0","0","","2001"
"2221310","321900","1167","0.639","8","1","0.505","0.8","0.609","","2001"
"2221311","321900","1170","0.61","8","1","0.322","0.885","0.62","","2001"
"2221312","321900","1175","0.191","8","1","0.104","0.3","0.195","","2001"
"2221313","321900","1184","0","8","1","0","0","0","","2001"
"2221314","321900","1012","0.82","8","1","0.73","0.94","0.81","","2001"
"2221315","321900","1013","0","8","1","0","0","0","","2001"
"2221316","321900","1003","2.57","","49","1.54","3.55","2.57","",""
"2221317","321900","1007","0.83","8","1","0.69","0.92","0.83","","2001"
"2221318","321900","1108","0","6","1","0","0","0","","2001"
"2221319","321900","1075","0","4","1","0","0","0","","2001"
"2221320","321900","1079","2.4","4","1","2","2.7","2.5","","2001"
"2221321","321900","1089","0.69","8","1","0.51","0.98","0.63","","2001"
"2221322","321900","1090","21","8","1","16.1","26.5","21","","2001"
"2221323","321900","1091","67","8","1","59","81","66","","2001"
"2221324","321900","1093","36","7","1","25","51","37","","2001"
"2221325","321900","1098","0.059","8","1","0.04","0.075","0.063","","2001"
"2221326","321900","1101","0.197","8","1","0.179","0.218","0.197","","2001"
"2221327","321900","1127","0","6","1","0","0","0","","2001"
"2221328","321900","1130","0","6","1","0","0","0","","2001"
"2221329","321900","1131","0","6","1","0","0","0","","2001"
"2221330","321900","1162","53.3","12","1","3.3","105","42.4","","2001"
"2221331","321900","1165","0.077","8","1","0.055","0.103","0.074","","2001"
"2221332","321900","1166","0.114","8","1","0.07","0.156","0.112","","2001"
"2221333","321900","1333","0","2","1","0","0","0","","2001"
"2221334","321900","1261","0","2","1","0","0","0","","2001"
"2221335","321900","1210","0.033","4","1","0.02","0.05","0.031","","2001"
"2221336","321900","1211","0.088","4","1","0.072","0.11","0.086","","2001"
"2221337","321900","1215","0.038","4","1","0.036","0.04","0.039","","2001"
"2221338","321900","1217","0.117","4","1","0.084","0.15","0.118","","2001"
"2221339","321900","1218","0.05","4","1","0.047","0.054","0.05","","2001"
"2221340","321900","1222","0.104","4","1","0.087","0.12","0.104","","2001"
"2221341","321900","1224","0.542","4","1","0.405","0.73","0.517","","2001"
"2221342","321900","1225","0.089","4","1","0.078","0.1","0.088","","2001"
"2221343","321900","1226","0.11","4","1","0.076","0.17","0.097","","2001"
"2221344","321900","1300","0","2","1","0","0","0","","2001"
"2221345","321900","1185","102","8","1","76.6","136","98.7","","2001"
"2221346","321900","1263","0","2","1","0","0","0","","2001"
"2221347","321900","1177","65","8","1","15","182","45","","2001"
