"id","fdc_id","seq_num","food_attribute_type_id","name","value"
"376543","784477","","999","Fortification identifier code","1"
"386454","784477","","999","WWEIA Category code","4202"
"402837","784477","","999","WWEIA Category description","Yeast breads"
"362512","784478","1","1001","","diet sliced or very thin sliced"
"362513","784478","5","1001","","English muffin bread"
"362514","784478","6","1001","","pre-sliced, commercial"
"376544","784478","","999","Fortification identifier code","1"
"386455","784478","","999","WWEIA Category code","4202"
"402838","784478","","999","WWEIA Category description","Yeast breads"
"362515","784479","1","1001","","not pre-sliced"
"374009","784479","","1002","","Moisture change: -8.0%"
"376545","784479","","999","Fortification identifier code","2a"
"386456","784479","","999","WWEIA Category code","4202"
"402839","784479","","999","WWEIA Category description","Yeast breads"
"362516","784480","1","1001","","not pre-sliced"
"374010","784480","","1002","","Moisture change: -9.0%"
"376546","784480","","999","Fortification identifier code","2a"
"386457","784480","","999","WWEIA Category code","4202"
"402840","784480","","999","WWEIA Category description","Yeast breads"
"362517","784481","4","1001","","pre-sliced or not"
"376547","784481","","999","Fortification identifier code","2"
"386458","784481","","999","WWEIA Category code","4202"
"402841","784481","","999","WWEIA Category description","Yeast breads"
"362518","784482","4","1001","","pre-sliced or not"
"374011","784482","","1002","","Moisture change: -9.0%"
"376548","784482","","999","Fortification identifier code","2"
"386459","784482","","999","WWEIA Category code","4202"
"402842","784482","","999","WWEIA Category description","Yeast breads"
"362519","784483","1","1001","","Spanish"
"362520","784483","2","1001","","Portuguese"
"362521","784483","3","1001","","pre-sliced or not"
"376549","784483","","999","Fortification identifier code","1"
"386460","784483","","999","WWEIA Category code","4202"
"402843","784483","","999","WWEIA Category description","Yeast breads"
"362522","784484","1","1001","","Spanish"
"362523","784484","2","1001","","Portuguese"
"362524","784484","3","1001","","pre-sliced or not"
"374012","784484","","1002","","Moisture change: -9.0%"
"376550","784484","","999","Fortification identifier code","1"
"386461","784484","","999","WWEIA Category code","4202"
"402844","784484","","999","WWEIA Category description","Yeast breads"
"362525","784485","1","1001","","Pan de agua"
"362526","784485","2","1001","","Pan Criollo"
"374013","784485","","1002","","Moisture change: -15.0%"
"376551","784485","","999","Fortification identifier code","2a"
"386462","784485","","999","WWEIA Category code","4202"
"402845","784485","","999","WWEIA Category description","Yeast breads"
"362527","784486","2","1001","","Pan de agua"
"362528","784486","3","1001","","tostado"
"362529","784486","4","1001","","Pan Criollo"
"374014","784486","","1002","","Moisture change: -9.0%"
"376552","784486","","999","Fortification identifier code","2a"
"386463","784486","","999","WWEIA Category code","4202"
"402846","784486","","999","WWEIA Category description","Yeast breads"
"362530","784487","1","1001","","Pan de manteca"
"374015","784487","","1002","","Moisture change: -10.0%"
"376553","784487","","999","Fortification identifier code","2a"
"386464","784487","","999","WWEIA Category code","4202"
"402847","784487","","999","WWEIA Category description","Yeast breads"
"362531","784488","1","1001","","Pan de manteca"
"374016","784488","","1002","","Moisture change: -19.0%"
"376554","784488","","999","Fortification identifier code","2a"
"386465","784488","","999","WWEIA Category code","4202"
"402848","784488","","999","WWEIA Category description","Yeast breads"
"362532","784489","1","1001","","Pan sobao"
"376555","784489","","999","Fortification identifier code","2a"
"386466","784489","","999","WWEIA Category code","4202"
"402849","784489","","999","WWEIA Category description","Yeast breads"
"362533","784490","1","1001","","Pan sobao"
"374017","784490","","1002","","Moisture change: -9.0%"
"376556","784490","","999","Fortification identifier code","2a"
"386467","784490","","999","WWEIA Category code","4202"
"402850","784490","","999","WWEIA Category description","Yeast breads"
"362534","784491","1","1001","","baguette"
"362535","784491","2","1001","","pre-sliced or not"
"376557","784491","","999","Fortification identifier code","1"
"386468","784491","","999","WWEIA Category code","4202"
"402851","784491","","999","WWEIA Category description","Yeast breads"
"362536","784492","1","1001","","pre-sliced or not"
"376558","784492","","999","Fortification identifier code","1"
"386469","784492","","999","WWEIA Category code","4202"
"402852","784492","","999","WWEIA Category description","Yeast breads"
"362537","784493","1","1001","","Parmalat Focaccia"
"362538","784493","2","1001","","Boboli pizza crust"
"362539","784493","3","1001","","focaccia bread, NFS"
"376559","784493","","999","Fortification identifier code","1"
"386470","784493","","999","WWEIA Category code","4202"
"402853","784493","","999","WWEIA Category description","Yeast breads"
"362540","784494","1","1001","","Nan bread"
"374018","784494","","1002","","Moisture change: -8.0%"
"386471","784494","","999","WWEIA Category code","4202"
"402854","784494","","999","WWEIA Category description","Yeast breads"
"362541","784495","1","1001","","sesame bread"
"362542","784495","2","1001","","pre-sliced or not"
"362543","784495","3","1001","","ciabatta bread"
"376560","784495","","999","Fortification identifier code","1"
"386472","784495","","999","WWEIA Category code","4202"
"402855","784495","","999","WWEIA Category description","Yeast breads"
"362544","784496","1","1001","","sesame bread"
"362545","784496","2","1001","","pre-sliced or not"
"362546","784496","3","1001","","ciabatta bread"
"374019","784496","","1002","","Moisture change: -9.0%"
"376561","784496","","999","Fortification identifier code","1"
"386473","784496","","999","WWEIA Category code","4202"
"402856","784496","","999","WWEIA Category description","Yeast breads"
"362547","784497","1","1001","","Greek"
"362548","784497","2","1001","","Syrian flat bread"
"362549","784497","3","1001","","Sahara"
"362550","784497","4","1001","","Arab"
"362551","784497","5","1001","","pocket"
"376562","784497","","999","Fortification identifier code","1"
"386474","784497","","999","WWEIA Category code","4202"
"402857","784497","","999","WWEIA Category description","Yeast breads"
"362552","784498","1","1001","","Greek"
"362553","784498","2","1001","","Syrian flat bread"
"362554","784498","3","1001","","Sahara"
"362555","784498","4","1001","","Arab"
"362556","784498","5","1001","","pocket"
"374020","784498","","1002","","Moisture change: -9.0%"
"376563","784498","","999","Fortification identifier code","1"
"386475","784498","","999","WWEIA Category code","4202"
"402858","784498","","999","WWEIA Category description","Yeast breads"
"362557","784499","1","1001","","cinnamon-raisin pita"
"376564","784499","","999","Fortification identifier code","2"
"386476","784499","","999","WWEIA Category code","4202"
"402859","784499","","999","WWEIA Category description","Yeast breads"
"362558","784500","1","1001","","cinnamon-raisin pita"
"374021","784500","","1002","","Moisture change: -9.0%"
"376565","784500","","999","Fortification identifier code","2"
"386477","784500","","999","WWEIA Category code","4202"
"402860","784500","","999","WWEIA Category description","Yeast breads"
"362559","784501","1","1001","","onion cheese"
"362560","784501","2","1001","","pre-sliced or not"
"376566","784501","","999","Fortification identifier code","1"
"386478","784501","","999","WWEIA Category code","4202"
"402861","784501","","999","WWEIA Category description","Yeast breads"
"362561","784502","1","1001","","onion cheese"
"362562","784502","2","1001","","pre-sliced or not"
"374022","784502","","1002","","Moisture change: -9.0%"
"376567","784502","","999","Fortification identifier code","1"
"386479","784502","","999","WWEIA Category code","4202"
"402862","784502","","999","WWEIA Category description","Yeast breads"
"362563","784503","1","1001","","pre-sliced or not"
"376568","784503","","999","Fortification identifier code","1"
"386480","784503","","999","WWEIA Category code","4202"
"402863","784503","","999","WWEIA Category description","Yeast breads"
"362564","784504","1","1001","","pre-sliced or not"
"376569","784504","","999","Fortification identifier code","1"
"386481","784504","","999","WWEIA Category code","4202"
"402864","784504","","999","WWEIA Category description","Yeast breads"
"362565","784505","1","1001","","Anadama bread"
"362566","784505","2","1001","","pre-sliced or not"
"374023","784505","","1002","","Moisture change: -8.0%"
"376570","784505","","999","Fortification identifier code","2a"
"386482","784505","","999","WWEIA Category code","4202"
"402865","784505","","999","WWEIA Category description","Yeast breads"
"362567","784506","1","1001","","Anadama bread"
"362568","784506","2","1001","","pre-sliced or not"
"374024","784506","","1002","","Moisture change: -9.0%"
"376571","784506","","999","Fortification identifier code","2a"
"386483","784506","","999","WWEIA Category code","4202"
"402866","784506","","999","WWEIA Category description","Yeast breads"
"362569","784507","2","1001","","pre-sliced or not"
"376572","784507","","999","Fortification identifier code","1"
"386484","784507","","999","WWEIA Category code","4202"
"402867","784507","","999","WWEIA Category description","Yeast breads"
"362570","784508","2","1001","","pre-sliced or not"
"374025","784508","","1002","","Moisture change: -9.0%"
"376573","784508","","999","Fortification identifier code","1"
"386485","784508","","999","WWEIA Category code","4202"
"402868","784508","","999","WWEIA Category description","Yeast breads"
"376574","784509","","999","Fortification identifier code","2"
"386486","784509","","999","WWEIA Category code","4202"
"402869","784509","","999","WWEIA Category description","Yeast breads"
"362571","784510","1","1001","","from other place"
"362572","784510","2","1001","","garlic toast"
"362573","784510","3","1001","","Texas toast"
"362574","784510","4","1001","","made from all bread types"
"376575","784510","","999","Fortification identifier code","2"
"386487","784510","","999","WWEIA Category code","4202"
"402870","784510","","999","WWEIA Category description","Yeast breads"
"362575","784511","1","1001","","homemade"
"362576","784511","2","1001","","school cafeteria (K-12)"
"362577","784511","3","1001","","garlic toast"
"362578","784511","4","1001","","Texas toast"
"362579","784511","5","1001","","made from all bread types"
"376576","784511","","999","Fortification identifier code","1"
"386488","784511","","999","WWEIA Category code","4202"
"402871","784511","","999","WWEIA Category description","Yeast breads"
"362580","784512","1","1001","","from other place"
"362581","784512","2","1001","","garlic parmesan toast"
"362582","784512","3","1001","","cheese bread with parmesan"
"362583","784512","4","1001","","Texas toast with parmesan"
"362584","784512","5","1001","","made from all bread types"
"376577","784512","","999","Fortification identifier code","2"
"386489","784512","","999","WWEIA Category code","4202"
"402872","784512","","999","WWEIA Category description","Yeast breads"
"362585","784513","1","1001","","homemade"
"362586","784513","2","1001","","school cafeteria (K-12)"
"362587","784513","3","1001","","garlic parmesan toast"
"362588","784513","4","1001","","cheese bread with parmesan"
"362589","784513","5","1001","","Texas toast with parmesan"
"362590","784513","6","1001","","made from all bread types"
"376578","784513","","999","Fortification identifier code","2"
"386490","784513","","999","WWEIA Category code","4202"
"402873","784513","","999","WWEIA Category description","Yeast breads"
"362591","784514","1","1001","","from other place"
"362592","784514","2","1001","","garlic cheese toast, NFS"
"362593","784514","3","1001","","cheese bread, NFS"
"362594","784514","4","1001","","cheese bread with melted cheese"
"362595","784514","5","1001","","Texas toast with cheese, NFS"
"362596","784514","6","1001","","made from all bread types"
"376579","784514","","999","Fortification identifier code","2"
"386491","784514","","999","WWEIA Category code","4202"
"402874","784514","","999","WWEIA Category description","Yeast breads"
"362597","784515","1","1001","","homemade"
"362598","784515","2","1001","","school cafeteria (K-12)"
"362599","784515","3","1001","","garlic cheese toast"
"362600","784515","4","1001","","cheese bread"
"362601","784515","5","1001","","Texas toast with cheese"
"362602","784515","6","1001","","made from all bread types"
"376580","784515","","999","Fortification identifier code","2"
"386492","784515","","999","WWEIA Category code","4202"
"402875","784515","","999","WWEIA Category description","Yeast breads"
"362603","784516","1","1001","","pre-sliced or not"
"374026","784516","","1002","","Moisture change: -8.0%"
"376581","784516","","999","Fortification identifier code","2a"
"386493","784516","","999","WWEIA Category code","4202"
"402876","784516","","999","WWEIA Category description","Yeast breads"
"374027","784517","","1002","","Moisture change: -9.0%"
"376582","784517","","999","Fortification identifier code","2a"
"386494","784517","","999","WWEIA Category code","4202"
"402877","784517","","999","WWEIA Category description","Yeast breads"
"362604","784518","9","1001","","light or lite"
"362605","784518","10","1001","","pre-sliced or not"
"376583","784518","","999","Fortification identifier code","1"
"386495","784518","","999","WWEIA Category code","4202"
"402878","784518","","999","WWEIA Category description","Yeast breads"
"362606","784519","9","1001","","light or lite"
"362607","784519","10","1001","","pre-sliced or not"
"374028","784519","","1002","","Moisture change: -9.0%"
"376584","784519","","999","Fortification identifier code","1"
"386496","784519","","999","WWEIA Category code","4202"
"402879","784519","","999","WWEIA Category description","Yeast breads"
"362608","784520","3","1001","","light or lite"
"362609","784520","4","1001","","pre-sliced or not"
"376585","784520","","999","Fortification identifier code","2"
"386497","784520","","999","WWEIA Category code","4202"
"402880","784520","","999","WWEIA Category description","Yeast breads"
"362610","784521","3","1001","","light or lite"
"362611","784521","4","1001","","pre-sliced or not"
"374029","784521","","1002","","Moisture change: -9.0%"
"376586","784521","","999","Fortification identifier code","2"
"386498","784521","","999","WWEIA Category code","4202"
"402881","784521","","999","WWEIA Category description","Yeast breads"
"362612","784522","1","1001","","Iron Kids Bread, Kids' Choice Bread"
"362613","784522","2","1001","","pre-sliced or not"
"376587","784522","","999","Fortification identifier code","1"
"386499","784522","","999","WWEIA Category code","4202"
"402882","784522","","999","WWEIA Category description","Yeast breads"
"362614","784523","1","1001","","Iron Kids Bread, Kids' Choice Bread"
"362615","784523","2","1001","","pre-sliced or not"
"374030","784523","","1002","","Moisture change: -9.0%"
"376588","784523","","999","Fortification identifier code","1"
"386500","784523","","999","WWEIA Category code","4202"
"402883","784523","","999","WWEIA Category description","Yeast breads"
"362616","784524","1","1001","","gluten bread"
"362617","784524","2","1001","","pre-sliced or not"
"376589","784524","","999","Fortification identifier code","1"
"386501","784524","","999","WWEIA Category code","4202"
"402884","784524","","999","WWEIA Category description","Yeast breads"
"362618","784525","1","1001","","gluten bread"
"362619","784525","2","1001","","pre-sliced or not"
"374031","784525","","1002","","Moisture change: -9.0%"
"376590","784525","","999","Fortification identifier code","1"
"386502","784525","","999","WWEIA Category code","4202"
"402885","784525","","999","WWEIA Category description","Yeast breads"
"362620","784526","1","1001","","pre-sliced or not"
"376591","784526","","999","Fortification identifier code","1"
"386503","784526","","999","WWEIA Category code","4202"
"402886","784526","","999","WWEIA Category description","Yeast breads"
"362621","784527","1","1001","","pre-sliced or not"
"374032","784527","","1002","","Moisture change: -9.0%"
"376592","784527","","999","Fortification identifier code","1"
"386504","784527","","999","WWEIA Category code","4202"
"402887","784527","","999","WWEIA Category description","Yeast breads"
"362622","784528","1","1001","","with or without nuts"
"362623","784528","2","1001","","cinnamon-raisin"
"362624","784528","4","1001","","pre-sliced or not"
"376593","784528","","999","Fortification identifier code","2"
"386505","784528","","999","WWEIA Category code","4202"
"402888","784528","","999","WWEIA Category description","Yeast breads"
"362625","784529","1","1001","","with or without nuts"
"362626","784529","2","1001","","cinnamon-raisin"
"362627","784529","3","1001","","pre-sliced or not"
"374033","784529","","1002","","Moisture change: -9.0%"
"376594","784529","","999","Fortification identifier code","2"
"386506","784529","","999","WWEIA Category code","4202"
"402889","784529","","999","WWEIA Category description","Yeast breads"
"362628","784530","1","1001","","pre-sliced or not"
"376595","784530","","999","Fortification identifier code","1"
"386507","784530","","999","WWEIA Category code","4202"
"402890","784530","","999","WWEIA Category description","Yeast breads"
"362629","784531","1","1001","","pre-sliced or not"
"374034","784531","","1002","","Moisture change: -9.0%"
"376596","784531","","999","Fortification identifier code","1"
"386508","784531","","999","WWEIA Category code","4202"
"402891","784531","","999","WWEIA Category description","Yeast breads"
"362630","784532","1","1001","","pre-sliced or not"
"376597","784532","","999","Fortification identifier code","1"
"386509","784532","","999","WWEIA Category code","4202"
"402892","784532","","999","WWEIA Category description","Yeast breads"
"362631","784533","1","1001","","pre-sliced or not"
"376598","784533","","999","Fortification identifier code","1"
"386510","784533","","999","WWEIA Category code","4202"
"402893","784533","","999","WWEIA Category description","Yeast breads"
"362632","784534","1","1001","","pre-sliced or not"
"374035","784534","","1002","","Moisture change: -8.0%"
"376599","784534","","999","Fortification identifier code","2a"
"386511","784534","","999","WWEIA Category code","4202"
"402894","784534","","999","WWEIA Category description","Yeast breads"
"374036","784535","","1002","","Moisture change: -9.0%"
"376600","784535","","999","Fortification identifier code","2a"
"386512","784535","","999","WWEIA Category code","4202"
"402895","784535","","999","WWEIA Category description","Yeast breads"
"362633","784536","1","1001","","bread with vegetables such as tomatoes, carrots, spinach, broccoli, olives"
"362634","784536","2","1001","","with or without cheese"
"362635","784536","3","1001","","pre-sliced or not"
"374037","784536","","1002","","Moisture change: -8.0%"
"376601","784536","","999","Fortification identifier code","2a"
"386513","784536","","999","WWEIA Category code","4202"
"402896","784536","","999","WWEIA Category description","Yeast breads"
"362636","784537","1","1001","","bread with vegetables such as tomatoes, carrots, spinach, broccoli, olives"
"362637","784537","2","1001","","with or without cheese"
"362638","784537","3","1001","","pre-sliced or not"
"374038","784537","","1002","","Moisture change: -9.0%"
"376602","784537","","999","Fortification identifier code","2a"
"386514","784537","","999","WWEIA Category code","4202"
"402897","784537","","999","WWEIA Category description","Yeast breads"
"376603","784538","","999","Fortification identifier code","2"
"386515","784538","","999","WWEIA Category code","3708"
"402898","784538","","999","WWEIA Category description","Other sandwiches (single code)"
"362639","784539","1","1001","","American Indian fry bread"
"374039","784539","","1002","","Moisture change: -10.0%"
"376604","784539","","999","Fortification identifier code","2a"
"386516","784539","","999","WWEIA Category code","4202"
"402899","784539","","999","WWEIA Category description","Yeast breads"
"362640","784540","1","1001","","potato roll"
"362641","784540","2","1001","","onion roll"
"362642","784540","3","1001","","roll made from mix"
"362643","784540","4","1001","","soft, seeded roll"
"362644","784540","5","1001","","brown 'n' serve"
"362645","784540","8","1001","","white roll, NS as to soft or hard"
"362646","784540","11","1001","","dinner roll"
"376605","784540","","999","Fortification identifier code","1"
"386517","784540","","999","WWEIA Category code","4204"
"402900","784540","","999","WWEIA Category description","Rolls and buns"
"362647","784541","1","1001","","Kaiser"
"362648","784541","2","1001","","Pan de sal / Pandisal Filipino bread"
"376606","784541","","999","Fortification identifier code","1"
